"LEFT_CONTEXT";"MODAL_VERB";"RIGHT_CONTEXT";"ASPINF";"TENSEPRI";"DO";"DATIVE";"MODIFIER";"NEGATION";"ORDER"
"Алексей Ковалев штампует хет-трики Самому Алексею Ковалеву утром в минувший вторник";"  пришлось ";"делать выбор куда сложнее. Он мог, надев парадный костюм, отправиться в Вашингтон на официальный обед  ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Но в этой покупке жизнерадостному экспериментатору отказали, и ему";"  пришлось ";"делать тайные опыты в обыкновенной стеклянной банке. Туда он наливал перекись водорода, борный спирт, марганцовку  ←…→ ";"IPF";"PAST";"PL";"YES";"NO";"NO";"POST"
"Попытка прорваться к Мавзолею со стороны Василия Блаженного оказалась неудачной.";"  Пришлось ";"делать крюк через ГУМ. Возле турникетов, расположенных у Исторического музея, давка. Хотя народу не так  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
" Это было не только больно, но и грозило неприятностями:";"  пришлось ";"делать болезненные, но необходимые в таких случаях уколы в живот. Но этот инцидент почему-то казался  ←…→ ";"IPF";"PAST";"PL";"NO";"YES";"NO";"POST"
"и я понимала её трудности, так как когда-то, перед своей первой поездкой в Италию, мне";"  пришлось ";"делать то же самое. Совсем недавно, в 1995 году, мы встретились с Грейс Бамбри в  ←…→ ";"IPF";"PAST";"PRON";"YES";"NO";"NO";"POST"
"это придумала. Еще я недавно делала доклад ― все кроме меня отказались книгу читать, так что";"  пришлось ";"делать доклад ― про Барбару Картленд. Она считается одной из самых известных беллетристок, авторок любовных романов  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"[OVK_Markel, муж] Самое неприятное ―";"  пришлось ";"делать замену номера. Батарея так гудела, что невозможно было спать.   ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"поэтому пытаются подарить волшебство своим детям. Наталья: У меня был случай, когда вообще ничего не";"  пришлось ";"делать. Заходим, квартира шикарная ― я теперь знаю, какой ремонт хочу у себя сделать. Много-много  ←…→ ";"IPF";"PAST";"PRON";"NO";"YES";"YES";"PRE"
"Не в пример чаще, чем раньше, на съемных углах. Особенно досталось младшенькой, ей даже операцию";"  пришлось ";"делать — так далеко зашли воспалительные процессы. А когда есть проблемы со здоровьем, они неизбежно самым  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"PRE"
"и подготовленные портфолио к ним в руки так и не попали, что причёски перед выходом";"  пришлось ";"делать самим, потому как было опасение: «профессионалы» могут и волосы попортить, аналогичная ситуация и с  ←…→ ";"IPF";"PAST";"PL";"NO";"NO";"NO";"PRE"
