ANSWER;PERSONID;MATCHOR;ASPPRI;DO
O;A;NO;PF;VB
O;A;YES;PF;VB
O;A;YES;PF;S
N;A;NO;PF;S
O;A;YES;PF;S
O;A;NO;PF;S
N;A;YES;PF;VB
O;A;NO;PF;VB
O;A;YES;PF;V
O;A;NO;PF;V
O;A;YES;PF;S
O;A;NO;PF;S
O;A;YES;IPF;VB
N;A;NO;IPF;VB
O;A;NO;IPF;S
N;A;YES;IPF;S
N;A;NO;IPF;S
O;A;YES;IPF;S
O;A;YES;IPF;VB
O;A;NO;IPF;VB
O;A;YES;PF;V
O;A;NO;PF;V
O;A;YES;PF;VB
O;A;NO;PF;VB
O;A;YES;PF;VB
O;A;NO;PF;VB
O;A;YES;PF;V
O;A;NO;PF;V
O;A;NO;PF;V
O;A;YES;PF;V
O;A;YES;PF;VB
O;A;NO;PF;VB
N;A;NO;IPF;V
O;A;YES;IPF;V
O;B;NO;PF;VB
O;B;YES;PF;VB
O;B;YES;PF;S
N;B;NO;PF;S
O;B;YES;PF;S
N;B;NO;PF;S
N;B;YES;PF;VB
O;B;NO;PF;VB
O;B;YES;PF;V
O;B;NO;PF;V
N;B;YES;PF;S
O;B;NO;PF;S
O;B;YES;IPF;VB
N;B;NO;IPF;VB
O;B;NO;IPF;S
N;B;YES;IPF;S
N;B;NO;IPF;S
O;B;YES;IPF;S
O;B;YES;IPF;VB
N;B;NO;IPF;VB
O;B;YES;PF;V
O;B;NO;PF;V
O;B;YES;PF;VB
O;B;NO;PF;VB
O;B;YES;PF;VB
O;B;NO;PF;VB
O;B;YES;PF;V
O;B;NO;PF;V
O;B;NO;PF;V
O;B;YES;PF;V
O;B;YES;PF;VB
O;B;NO;PF;VB
O;B;NO;IPF;V
O;B;YES;IPF;V
O;C;NO;PF;VB
O;C;YES;PF;VB
O;C;YES;PF;S
O;C;NO;PF;S
O;C;YES;PF;S
O;C;NO;PF;S
O;C;YES;PF;VB
O;C;NO;PF;VB
O;C;YES;PF;V
O;C;NO;PF;V
N;C;YES;PF;S
O;C;NO;PF;S
O;C;YES;IPF;VB
N;C;NO;IPF;VB
O;C;NO;IPF;S
N;C;YES;IPF;S
N;C;NO;IPF;S
O;C;YES;IPF;S
O;C;YES;IPF;VB
N;C;NO;IPF;VB
O;C;YES;PF;V
N;C;NO;PF;V
O;C;YES;PF;VB
O;C;NO;PF;VB
O;C;YES;PF;VB
O;C;NO;PF;VB
N;C;YES;PF;V
O;C;NO;PF;V
O;C;NO;PF;V
N;C;YES;PF;V
O;C;YES;PF;VB
N;C;NO;PF;VB
N;C;NO;IPF;V
O;C;YES;IPF;V
N;D;NO;PF;VB
O;D;YES;PF;VB
O;D;YES;PF;S
N;D;NO;PF;S
O;D;YES;PF;S
N;D;NO;PF;S
O;D;YES;PF;VB
O;D;NO;PF;VB
O;D;YES;PF;V
O;D;NO;PF;V
O;D;YES;PF;S
O;D;NO;PF;S
O;D;YES;IPF;VB
O;D;NO;IPF;VB
O;D;NO;IPF;S
O;D;YES;IPF;S
N;D;NO;IPF;S
O;D;YES;IPF;S
O;D;YES;IPF;VB
O;D;NO;IPF;VB
O;D;YES;PF;V
N;D;NO;PF;V
N;D;YES;PF;VB
O;D;NO;PF;VB
O;D;YES;PF;VB
N;D;NO;PF;VB
N;D;YES;PF;V
O;D;NO;PF;V
O;D;NO;PF;V
N;D;YES;PF;V
O;D;YES;PF;VB
O;D;NO;PF;VB
N;D;NO;IPF;V
O;D;YES;IPF;V
O;E;NO;PF;VB
O;E;YES;PF;VB
O;E;YES;PF;S
O;E;NO;PF;S
O;E;YES;PF;S
N;E;NO;PF;S
N;E;YES;PF;VB
O;E;NO;PF;VB
O;E;YES;PF;V
N;E;NO;PF;V
N;E;YES;PF;S
O;E;NO;PF;S
O;E;YES;IPF;VB
N;E;NO;IPF;VB
O;E;NO;IPF;S
O;E;YES;IPF;S
O;E;NO;IPF;S
O;E;YES;IPF;S
O;E;YES;IPF;VB
O;E;NO;IPF;VB
O;E;YES;PF;V
N;E;NO;PF;V
O;E;YES;PF;VB
O;E;NO;PF;VB
O;E;YES;PF;VB
N;E;NO;PF;VB
O;E;YES;PF;V
O;E;NO;PF;V
O;E;NO;PF;V
N;E;YES;PF;V
N;E;YES;PF;VB
O;E;NO;PF;VB
N;E;NO;IPF;V
O;E;YES;IPF;V
O;F;NO;PF;VB
O;F;YES;PF;VB
O;F;YES;PF;S
O;F;NO;PF;S
O;F;YES;PF;S
N;F;NO;PF;S
O;F;YES;PF;VB
O;F;NO;PF;VB
O;F;YES;PF;V
O;F;NO;PF;V
O;F;YES;PF;S
O;F;NO;PF;S
O;F;YES;IPF;VB
O;F;NO;IPF;VB
O;F;NO;IPF;S
N;F;YES;IPF;S
N;F;NO;IPF;S
O;F;YES;IPF;S
O;F;YES;IPF;VB
N;F;NO;IPF;VB
O;F;YES;PF;V
O;F;NO;PF;V
O;F;YES;PF;VB
O;F;NO;PF;VB
O;F;YES;PF;VB
N;F;NO;PF;VB
O;F;YES;PF;V
O;F;NO;PF;V
O;F;NO;PF;V
O;F;YES;PF;V
O;F;YES;PF;VB
O;F;NO;PF;VB
N;F;NO;IPF;V
O;F;YES;IPF;V
O;G;NO;PF;VB
O;G;YES;PF;VB
O;G;YES;PF;S
O;G;NO;PF;S
O;G;YES;PF;S
O;G;NO;PF;S
O;G;YES;PF;VB
O;G;NO;PF;VB
O;G;YES;PF;V
O;G;NO;PF;V
O;G;YES;PF;S
O;G;NO;PF;S
O;G;YES;IPF;VB
N;G;NO;IPF;VB
O;G;NO;IPF;S
O;G;YES;IPF;S
O;G;NO;IPF;S
O;G;YES;IPF;S
O;G;YES;IPF;VB
O;G;NO;IPF;VB
O;G;YES;PF;V
O;G;NO;PF;V
O;G;YES;PF;VB
O;G;NO;PF;VB
O;G;YES;PF;VB
N;G;NO;PF;VB
O;G;YES;PF;V
O;G;NO;PF;V
O;G;NO;PF;V
O;G;YES;PF;V
O;G;YES;PF;VB
O;G;NO;PF;VB
N;G;NO;IPF;V
O;G;YES;IPF;V
O;H;NO;PF;VB
O;H;YES;PF;VB
O;H;YES;PF;S
O;H;NO;PF;S
O;H;YES;PF;S
O;H;NO;PF;S
O;H;YES;PF;VB
O;H;NO;PF;VB
O;H;YES;PF;V
O;H;NO;PF;V
O;H;YES;PF;S
O;H;NO;PF;S
O;H;YES;IPF;VB
O;H;NO;IPF;VB
O;H;NO;IPF;S
N;H;YES;IPF;S
O;H;NO;IPF;S
O;H;YES;IPF;S
O;H;YES;IPF;VB
O;H;NO;IPF;VB
O;H;YES;PF;V
O;H;NO;PF;V
O;H;YES;PF;VB
O;H;NO;PF;VB
O;H;YES;PF;VB
O;H;NO;PF;VB
O;H;YES;PF;V
O;H;NO;PF;V
O;H;NO;PF;V
O;H;YES;PF;V
N;H;YES;PF;VB
O;H;NO;PF;VB
N;H;NO;IPF;V
O;H;YES;IPF;V
O;I;NO;PF;VB
O;I;YES;PF;VB
O;I;YES;PF;S
O;I;NO;PF;S
O;I;YES;PF;S
N;I;NO;PF;S
O;I;YES;PF;VB
O;I;NO;PF;VB
O;I;YES;PF;V
O;I;NO;PF;V
N;I;YES;PF;S
O;I;NO;PF;S
O;I;YES;IPF;VB
N;I;NO;IPF;VB
O;I;NO;IPF;S
N;I;YES;IPF;S
N;I;NO;IPF;S
O;I;YES;IPF;S
O;I;YES;IPF;VB
N;I;NO;IPF;VB
O;I;YES;PF;V
N;I;NO;PF;V
O;I;YES;PF;VB
O;I;NO;PF;VB
O;I;YES;PF;VB
O;I;NO;PF;VB
O;I;YES;PF;V
O;I;NO;PF;V
O;I;NO;PF;V
N;I;YES;PF;V
O;I;YES;PF;VB
N;I;NO;PF;VB
N;I;NO;IPF;V
O;I;YES;IPF;V
O;J;NO;PF;VB
O;J;YES;PF;VB
O;J;YES;PF;S
O;J;NO;PF;S
N;J;YES;PF;S
O;J;NO;PF;S
O;J;YES;PF;VB
O;J;NO;PF;VB
O;J;YES;PF;V
O;J;NO;PF;V
O;J;YES;PF;S
O;J;NO;PF;S
O;J;YES;IPF;VB
N;J;NO;IPF;VB
O;J;NO;IPF;S
N;J;YES;IPF;S
N;J;NO;IPF;S
O;J;YES;IPF;S
O;J;YES;IPF;VB
N;J;NO;IPF;VB
O;J;YES;PF;V
O;J;NO;PF;V
O;J;YES;PF;VB
O;J;NO;PF;VB
O;J;YES;PF;VB
N;J;NO;PF;VB
O;J;YES;PF;V
O;J;NO;PF;V
N;J;NO;PF;V
O;J;YES;PF;V
O;J;YES;PF;VB
O;J;NO;PF;VB
O;J;NO;IPF;V
O;J;YES;IPF;V
O;K;NO;PF;VB
O;K;YES;PF;VB
O;K;YES;PF;S
N;K;NO;PF;S
O;K;YES;PF;S
N;K;NO;PF;S
O;K;YES;PF;VB
N;K;NO;PF;VB
O;K;YES;PF;V
O;K;NO;PF;V
O;K;YES;PF;S
O;K;NO;PF;S
O;K;YES;IPF;VB
N;K;NO;IPF;VB
O;K;NO;IPF;S
N;K;YES;IPF;S
N;K;NO;IPF;S
O;K;YES;IPF;S
O;K;YES;IPF;VB
N;K;NO;IPF;VB
O;K;YES;PF;V
N;K;NO;PF;V
O;K;YES;PF;VB
O;K;NO;PF;VB
O;K;YES;PF;VB
N;K;NO;PF;VB
O;K;YES;PF;V
O;K;NO;PF;V
O;K;NO;PF;V
O;K;YES;PF;V
O;K;YES;PF;VB
N;K;NO;PF;VB
N;K;NO;IPF;V
O;K;YES;IPF;V
O;L;NO;PF;VB
O;L;YES;PF;VB
O;L;YES;PF;S
O;L;NO;PF;S
O;L;YES;PF;S
N;L;NO;PF;S
O;L;YES;PF;VB
O;L;NO;PF;VB
O;L;YES;PF;V
O;L;NO;PF;V
O;L;YES;PF;S
O;L;NO;PF;S
O;L;YES;IPF;VB
O;L;NO;IPF;VB
O;L;NO;IPF;S
O;L;YES;IPF;S
N;L;NO;IPF;S
O;L;YES;IPF;S
O;L;YES;IPF;VB
N;L;NO;IPF;VB
O;L;YES;PF;V
O;L;NO;PF;V
O;L;YES;PF;VB
O;L;NO;PF;VB
O;L;YES;PF;VB
O;L;NO;PF;VB
O;L;YES;PF;V
O;L;NO;PF;V
O;L;NO;PF;V
O;L;YES;PF;V
